time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-04-27,68771.93,66291.27,67074.63,60.49,4104646.05,68371.0,direct,
2021-04-28,69439.38,66830.35,68371.0,56.82,3856730.55,67565.69,direct,
2021-04-29,67892.22,64447.53,67565.69,46.04,3036811.98,65938.56,direct,
2021-04-30,71334.43,65313.6,65938.56,65.84,4514414.0,71182.31,direct,
2021-05-01,71995.49,70179.54,71182.31,45.17,3217084.31,71153.14,direct,
2021-05-02,71312.09,69026.02,71153.14,46.15,3228365.35,69528.02,direct,
2021-05-03,72437.12,69435.12,69528.02,95.04,6763690.46,70262.05,direct,
2021-05-04,70262.05,65487.83,70262.05,112.48,7628922.96,65567.16,direct,
2021-05-05,70938.78,65385.05,65567.16,109.89,7593938.58,70334.4,direct,
2021-05-06,71322.58,67648.9,70334.4,89.07,6191261.48,68584.97,direct,
2021-05-07,71323.56,67195.42,68584.97,135.43,9358428.86,69748.85,direct,
2021-05-08,72114.66,69263.28,69748.85,103.55,7373740.25,71286.28,direct,
2021-05-09,71735.31,68397.39,71286.28,49.34,3459703.61,70242.64,direct,
2021-05-10,71569.12,60493.48,70242.64,140.28,9609396.85,67792.55,direct,
2021-05-11,68978.6,66100.65,67792.55,132.21,8982996.23,68590.09,direct,
2021-05-12,69963.4,58703.25,68590.09,129.86,8614896.2,59536.28,direct,
2021-05-13,62231.65,56340.57,59536.28,237.41,14188825.41,60359.91,direct,
2021-05-14,62470.42,59489.22,60359.91,97.03,5933323.53,60540.32,direct,
2021-05-15,61332.71,56540.35,60540.32,91.73,5405474.48,56812.51,direct,
2021-05-16,59978.64,52702.45,56812.51,116.05,6502925.13,56000.94,direct,
2021-05-17,56040.1,48062.0,56000.94,244.72,12679159.8,52491.57,direct,
2021-05-18,55233.78,51188.02,52491.57,103.92,5505788.51,51756.01,direct,
2021-05-19,52581.04,37161.97,51756.01,388.18,17992653.18,44720.39,direct,
2021-05-20,51549.23,42572.44,44720.39,226.3,10939478.97,49029.01,direct,
2021-05-21,51385.89,40627.45,49029.01,235.88,10836710.18,45155.71,direct,
2021-05-22,47102.04,42790.32,45155.71,95.25,4330980.22,45273.75,direct,
2021-05-23,46227.12,37570.06,45273.75,298.28,12152772.03,42069.0,direct,
2021-05-24,48180.38,41617.68,42069.0,2212.62,101845470.85,46954.93,direct,
2021-05-25,47995.2,44005.71,46954.93,4757.8,217710367.41,46460.5,direct,
